1: 43 45
2: 44 49
3: 46 47
4: 48 53
5: 50 54
6: 51 52
7: 8 43
8: 7 44
9: 10 45
10: 9 46
11: 12 47
12: 11 48
13: 14 49
14: 13 50
15: 16 54
16: 15 51
17: 18 52
18: 17 53
19: 20 21 25
20: 19 24 27
21: 19 23 26
22: 23 24 29
23: 21 22 30
24: 20 22 28
25: 19 31 33
26: 21 32 39
27: 20 34 35
28: 24 36 40
29: 22 41 42
30: 23 37 38
31: 25 32 43
32: 26 31 44
33: 25 34 45
34: 27 33 46
35: 27 36 47
36: 28 35 48
37: 30 39 50
38: 30 42 54
39: 26 37 49
40: 28 41 53
41: 29 40 52
42: 29 38 51
43: 1 7 31
44: 2 8 32
45: 1 9 33
46: 3 10 34
47: 3 11 35
48: 4 12 36
49: 2 13 39
50: 5 14 37
51: 6 16 42
52: 6 17 41
53: 4 18 40
54: 5 15 38

