graph_label,graph_family,method,n,m,max_degree,max_congestion,runtime_seconds,status
graph_1000_fake,house_of_graphs/bipartite,bfs,10,9,9,1,0.00029170500056352466,ok
graph_1000_fake,house_of_graphs/bipartite,kolman_exact_cut,10,9,9,1,9.345800208393484e-05,ok
graph_1000_fake,house_of_graphs/bipartite,okamoto_exact,10,9,9,8,0.018242710997583345,ok
graph_1004,house_of_graphs/bipartite,bfs,20,30,3,6,0.0002152700035367161,ok
graph_1004,house_of_graphs/bipartite,kolman_exact_cut,20,30,3,7,0.16581245700945146,ok
graph_1004,house_of_graphs/bipartite,okamoto_exact,20,30,3,,,skipped_too_large
graph_1006,house_of_graphs/bipartite,bfs,20,30,3,10,2.82139953924343e-05,ok
graph_1006,house_of_graphs/bipartite,kolman_exact_cut,20,30,3,6,0.15566055400995538,ok
graph_1006,house_of_graphs/bipartite,okamoto_exact,20,30,3,,,skipped_too_large
graph_1030,house_of_graphs/bipartite,bfs,62,120,5,18,6.950199895072728e-05,ok
graph_1030,house_of_graphs/bipartite,kolman_exact_cut,62,120,5,18,0.3408139340026537,ok
graph_1030,house_of_graphs/bipartite,okamoto_exact,62,120,5,,,skipped_too_large
graph_1036,house_of_graphs/bipartite,bfs,20,30,3,6,2.9786999220959842e-05,ok
graph_1036,house_of_graphs/bipartite,kolman_exact_cut,20,30,3,7,0.15695212400169112,ok
graph_1036,house_of_graphs/bipartite,okamoto_exact,20,30,3,,,skipped_too_large
graph_1053,house_of_graphs/bipartite,bfs,32,48,3,10,3.89540073229e-05,ok
graph_1053,house_of_graphs/bipartite,kolman_exact_cut,32,48,3,11,0.04330918600317091,ok
graph_1053,house_of_graphs/bipartite,okamoto_exact,32,48,3,,,skipped_too_large
graph_1059,house_of_graphs/bipartite,bfs,54,81,3,11,5.507499736268073e-05,ok
graph_1059,house_of_graphs/bipartite,kolman_exact_cut,54,81,3,9,0.20794975200260524,ok
graph_1059,house_of_graphs/bipartite,okamoto_exact,54,81,3,,,skipped_too_large
graph_1061,house_of_graphs/bipartite,bfs,78,117,3,21,7.765799819026142e-05,ok
graph_1061,house_of_graphs/bipartite,kolman_exact_cut,78,117,3,8,0.051571750998846255,ok
graph_1061,house_of_graphs/bipartite,okamoto_exact,78,117,3,,,skipped_too_large
graph_1122,house_of_graphs/bipartite,bfs,120,180,3,12,0.00011057101073674858,ok
graph_1122,house_of_graphs/bipartite,kolman_exact_cut,120,180,3,15,0.3544370169984177,ok
graph_1122,house_of_graphs/bipartite,okamoto_exact,120,180,3,,,skipped_too_large
graph_1124,house_of_graphs/bipartite,bfs,48,72,3,8,5.4374002502299845e-05,ok
graph_1124,house_of_graphs/bipartite,kolman_exact_cut,48,72,3,11,0.09122750999813434,ok
graph_1124,house_of_graphs/bipartite,okamoto_exact,48,72,3,,,skipped_too_large
graph_1154,house_of_graphs/bipartite,bfs,14,21,3,9,2.3665998014621437e-05,ok
graph_1154,house_of_graphs/bipartite,kolman_exact_cut,14,21,3,8,0.002795212989440188,ok
graph_1154,house_of_graphs/bipartite,okamoto_exact,14,21,3,7,0.45181868701183703,ok
graph_1282,house_of_graphs/bipartite,bfs,14,24,4,6,2.9696995625272393e-05,ok
graph_1282,house_of_graphs/bipartite,kolman_exact_cut,14,24,4,8,0.004339715000241995,ok
graph_1282,house_of_graphs/bipartite,okamoto_exact,14,24,4,7,0.2690534459979972,ok
graph_1284,house_of_graphs/bipartite,bfs,32,60,5,10,4.992500180378556e-05,ok
graph_1284,house_of_graphs/bipartite,kolman_exact_cut,32,60,5,12,0.007510713010560721,ok
graph_1284,house_of_graphs/bipartite,okamoto_exact,32,60,5,,,skipped_too_large
graph_1340,house_of_graphs/bipartite,bfs,16,32,4,8,2.207199577242136e-05,ok
graph_1340,house_of_graphs/bipartite,kolman_exact_cut,16,32,4,8,0.010207558996626176,ok
graph_1340,house_of_graphs/bipartite,okamoto_exact,16,32,4,10,1.9041603229998145,ok
graph_1397,house_of_graphs/bipartite,bfs,126,189,3,65,0.0038731759996153414,ok
graph_1397,house_of_graphs/bipartite,kolman_exact_cut,126,189,3,33,0.13867612001195084,ok
graph_1397,house_of_graphs/bipartite,okamoto_exact,126,189,3,,,skipped_too_large
graph_21048,house_of_graphs/bipartite,bfs,25,24,3,1,3.272198955528438e-05,ok
graph_21048,house_of_graphs/bipartite,kolman_exact_cut,25,24,3,1,0.0001333639957010746,ok
graph_21048,house_of_graphs/bipartite,okamoto_exact,25,24,3,,,skipped_too_large
graph_25141,house_of_graphs/bipartite,bfs,16,24,4,7,1.913700543809682e-05,ok
graph_25141,house_of_graphs/bipartite,kolman_exact_cut,16,24,4,5,0.010572083003353328,ok
graph_25141,house_of_graphs/bipartite,okamoto_exact,16,24,4,5,4.583240004998515,ok
graph_25174,house_of_graphs/bipartite,bfs,47,64,4,4,6.327001028694212e-05,ok
graph_25174,house_of_graphs/bipartite,kolman_exact_cut,47,64,4,6,0.17070776999753434,ok
graph_25174,house_of_graphs/bipartite,okamoto_exact,47,64,4,,,skipped_too_large
graph_252,house_of_graphs/bipartite,bfs,10,25,5,17,2.0157996914349496e-05,ok
graph_252,house_of_graphs/bipartite,kolman_exact_cut,10,25,5,12,0.0006391770002664998,ok
graph_252,house_of_graphs/bipartite,okamoto_exact,10,25,5,12,0.00955346399859991,ok
graph_26981,house_of_graphs/bipartite,bfs,46,45,3,1,4.714900569524616e-05,ok
graph_26981,house_of_graphs/bipartite,kolman_exact_cut,46,45,3,1,0.00029342899506445974,ok
graph_26981,house_of_graphs/bipartite,okamoto_exact,46,45,3,,,skipped_too_large
graph_27015,house_of_graphs/bipartite,bfs,87,193,9,44,8.421999518759549e-05,ok
graph_27015,house_of_graphs/bipartite,kolman_exact_cut,87,193,9,38,0.04735129399341531,ok
graph_27015,house_of_graphs/bipartite,okamoto_exact,87,193,9,,,skipped_too_large
graph_28500,house_of_graphs/bipartite,bfs,54,72,3,8,6.107699300628155e-05,ok
graph_28500,house_of_graphs/bipartite,kolman_exact_cut,54,72,3,8,0.05016013300337363,ok
graph_28500,house_of_graphs/bipartite,okamoto_exact,54,72,3,,,skipped_too_large
graph_28529,house_of_graphs/bipartite,bfs,24,30,3,4,3.017800918314606e-05,ok
graph_28529,house_of_graphs/bipartite,kolman_exact_cut,24,30,3,5,0.01150470899301581,ok
graph_28529,house_of_graphs/bipartite,okamoto_exact,24,30,3,,,skipped_too_large
graph_32548,house_of_graphs/bipartite,bfs,10,13,5,5,1.6330988728441298e-05,ok
graph_32548,house_of_graphs/bipartite,kolman_exact_cut,10,13,5,5,0.0006132179987616837,ok
graph_32548,house_of_graphs/bipartite,okamoto_exact,10,13,5,5,0.007829219990526326,ok
graph_33739,house_of_graphs/bipartite,bfs,16,16,4,2,2.139000571332872e-05,ok
graph_33739,house_of_graphs/bipartite,kolman_exact_cut,16,16,4,2,0.010234419998596422,ok
graph_33739,house_of_graphs/bipartite,okamoto_exact,16,16,4,,,failed
graph_33741,house_of_graphs/bipartite,bfs,29,32,4,3,6.583600770682096e-05,ok
graph_33741,house_of_graphs/bipartite,kolman_exact_cut,29,32,4,3,0.01421018099063076,ok
graph_33741,house_of_graphs/bipartite,okamoto_exact,29,32,4,,,skipped_too_large
graph_33743,house_of_graphs/bipartite,bfs,54,64,4,4,5.294100265018642e-05,ok
graph_33743,house_of_graphs/bipartite,kolman_exact_cut,54,64,4,3,0.08865077399241272,ok
graph_33743,house_of_graphs/bipartite,okamoto_exact,54,64,4,,,skipped_too_large
graph_33745,house_of_graphs/bipartite,bfs,101,128,4,5,0.00013889399997424334,ok
graph_33745,house_of_graphs/bipartite,kolman_exact_cut,101,128,4,7,0.06112213901360519,ok
graph_33745,house_of_graphs/bipartite,okamoto_exact,101,128,4,,,skipped_too_large
graph_33766,house_of_graphs/bipartite,bfs,30,60,4,24,3.361400740686804e-05,ok
graph_33766,house_of_graphs/bipartite,kolman_exact_cut,30,60,4,18,0.15877631701005157,ok
graph_33766,house_of_graphs/bipartite,okamoto_exact,30,60,4,,,skipped_too_large
graph_33768,house_of_graphs/bipartite,bfs,64,192,6,32,7.047399412840605e-05,ok
graph_33768,house_of_graphs/bipartite,kolman_exact_cut,64,192,6,42,0.032075272989459336,ok
graph_33768,house_of_graphs/bipartite,okamoto_exact,64,192,6,,,skipped_too_large
graph_33787,house_of_graphs/bipartite,bfs,30,30,4,2,3.4034994314424694e-05,ok
graph_33787,house_of_graphs/bipartite,kolman_exact_cut,30,30,4,2,0.16122724500019103,ok
graph_33787,house_of_graphs/bipartite,okamoto_exact,30,30,4,,,skipped_too_large
graph_33789,house_of_graphs/bipartite,bfs,57,59,4,2,6.141699850559235e-05,ok
