graph_label,graph_family,method,n,m,max_degree,max_congestion,runtime_seconds,status
Foster122A,.,kolman,122,183,3,24,39023.85,ok
Foster126A,.,kolman,126,189,3,24,54002.17,ok
Foster128A,.,kolman,128,192,3,28,50958.53,ok
Foster128B,.,kolman,128,192,3,30,46103.55,ok
Foster134A,.,kolman,134,201,3,22,65759.12,ok
Foster144A,.,kolman,144,216,3,40,100289.54,ok
Foster144B,.,kolman,144,216,3,36,91694.98,ok
Foster146A,.,kolman,146,219,3,28,91845.21,ok
Foster150A,.,kolman,150,225,3,29,148554.55,ok
Foster152A,.,kolman,152,228,3,25,109245.66,ok
Foster158A,.,kolman,158,237,3,32,170346.34,ok
Foster162A,.,kolman,162,243,3,27,201244.88,ok
Foster162B,.,kolman,162,243,3,49,183206.55,ok
Foster162C,.,kolman,162,243,3,47,122634.57,ok
Foster168A,.,kolman,168,252,3,27,180372.02,ok
Foster168B,.,kolman,168,252,3,34,234009.65,ok
Foster168C,.,kolman,168,252,3,44,220283.57,ok
Foster168E,.,kolman,168,252,3,49,254867.2,ok
Foster168F,.,kolman,168,252,3,43,235555.56,ok
Foster182C,.,kolman,182,273,3,52,290314.89,ok
Foster024A,.,kolman,24,36,3,8,16.43,ok
Foster026A,.,kolman,26,39,3,9,18.33,ok
Foster038A,.,kolman,38,57,3,14,57.2,ok
Foster040A,.,kolman,40,60,3,12,55.45,ok
Foster042A,.,kolman,42,63,3,11,91.17,ok
Foster048A,.,kolman,48,72,3,15,128.33,ok
Foster050A,.,kolman,50,75,3,13,371.8,ok
Foster054A,.,kolman,54,81,3,15,305.31,ok
Foster056A,.,kolman,56,84,3,15,268.22,ok
Foster056B,.,kolman,56,84,3,17,223.5,ok
Foster056C,.,kolman,56,84,3,18,243.92,ok
Foster060A,.,kolman,60,90,3,17,317.91,ok
Foster062A,.,kolman,62,93,3,17,385.58,ok
Foster064A,.,kolman,64,96,3,17,551.45,ok
Foster072A,.,kolman,72,108,3,15,728.06,ok
Foster074A,.,kolman,74,111,3,21,1056.51,ok
Foster078A,.,kolman,78,117,3,16,1710.07,ok
Foster080A,.,kolman,80,120,3,23,1344.06,ok
Foster084A,.,kolman,84,126,3,21,1703.74,ok
Foster090A,.,kolman,90,135,3,21,4766.65,ok
Foster096A,.,kolman,96,144,3,20,7063.27,ok
Foster096B,.,kolman,96,144,3,28,6408.22,ok
Foster098A,.,kolman,98,147,3,24,7195.68,ok
Foster098B,.,kolman,98,147,3,21,6891.01,ok
Foster104A,.,kolman,104,156,3,21,6130.52,ok
Foster108A,.,kolman,108,162,3,28,12471.27,ok
Foster110A,.,kolman,110,165,3,29,15223.93,ok
Foster112A,.,kolman,112,168,3,28,11982.63,ok
Foster112B,.,kolman,112,168,3,25,12195.64,ok
Foster112C,.,kolman,112,168,3,34,17843.31,ok
Foster114A,.,kolman,114,171,3,21,27304.82,ok
Foster120A,.,kolman,120,180,3,28,61558.71,ok
Foster120B,.,kolman,120,180,3,30,68776.01,ok
