graph_label,graph_family,method,n,m,max_degree,max_congestion,runtime_seconds,status
house_of_graphs_0001,.,kolman,14,13,13,1,0.0,ok
house_of_graphs_0001,.,okamoto_exact,14,13,13,1,5.57,ok
house_of_graphs_0021,.,kolman,14,13,6,1,0.0,ok
house_of_graphs_0021,.,okamoto_exact,14,13,6,1,7.07,ok
house_of_graphs_0041,.,kolman,14,21,3,5,0.01,ok
house_of_graphs_0041,.,okamoto_exact,14,21,3,5,7.66,ok
house_of_graphs_0061,.,kolman,14,36,6,12,0.01,ok
house_of_graphs_0061,.,okamoto_exact,14,36,6,12,7.02,ok
house_of_graphs_0081,.,kolman,19,52,6,20,0.34,ok
house_of_graphs_0081,.,okamoto_exact,19,52,6,13,5143.73,ok
house_of_graphs_0101,.,kolman,19,53,7,21,0.38,ok
house_of_graphs_0101,.,okamoto_exact,19,53,7,12,5745.5,ok
house_of_graphs_0121,.,kolman,19,51,7,17,0.39,ok
house_of_graphs_0121,.,okamoto_exact,19,51,7,12,2976.66,ok
house_of_graphs_0141,.,kolman,19,56,7,23,0.26,ok
house_of_graphs_0141,.,okamoto_exact,19,56,7,14,2760.04,ok
house_of_graphs_0161,.,kolman,18,27,3,5,0.07,ok
house_of_graphs_0161,.,okamoto_exact,18,27,3,5,818.56,ok
house_of_graphs_0181,.,kolman,17,37,5,13,0.07,ok
house_of_graphs_0181,.,okamoto_exact,17,37,5,9,269.76,ok
house_of_graphs_0201,.,kolman,18,27,3,6,0.08,ok
house_of_graphs_0201,.,okamoto_exact,18,27,3,5,792.27,ok
house_of_graphs_0221,.,kolman,18,28,4,8,0.11,ok
house_of_graphs_0221,.,okamoto_exact,18,28,4,5,780.91,ok
house_of_graphs_0241,.,kolman,19,33,6,10,0.34,ok
house_of_graphs_0241,.,okamoto_exact,19,33,6,6,2072.2,ok
house_of_graphs_0261,.,kolman,16,24,4,5,0.02,ok
house_of_graphs_0261,.,okamoto_exact,16,24,4,5,91.4,ok
house_of_graphs_0281,.,kolman,19,36,6,11,0.31,ok
house_of_graphs_0281,.,okamoto_exact,19,36,6,7,4794.9,ok
house_of_graphs_0301,.,kolman,16,24,3,5,0.02,ok
house_of_graphs_0301,.,okamoto_exact,16,24,3,5,72.04,ok
house_of_graphs_0321,.,kolman,18,27,3,6,0.07,ok
house_of_graphs_0321,.,okamoto_exact,18,27,3,5,810.35,ok
house_of_graphs_0341,.,kolman,17,68,8,28,0.17,ok
house_of_graphs_0341,.,okamoto_exact,17,68,8,14,176.64,ok
house_of_graphs_0361,.,kolman,14,13,6,1,0.0,ok
house_of_graphs_0361,.,okamoto_exact,14,13,6,1,6.0,ok
house_of_graphs_0381,.,kolman,18,27,3,8,0.11,ok
house_of_graphs_0381,.,okamoto_exact,18,27,3,6,782.77,ok
house_of_graphs_0401,.,kolman,16,72,9,28,0.06,ok
house_of_graphs_0401,.,okamoto_exact,16,72,9,16,58.44,ok
house_of_graphs_0421,.,kolman,15,14,4,1,0.0,ok
house_of_graphs_0421,.,okamoto_exact,15,14,4,1,21.86,ok
house_of_graphs_0441,.,kolman,18,27,3,7,0.08,ok
house_of_graphs_0441,.,okamoto_exact,18,27,3,6,792.04,ok
house_of_graphs_0461,.,kolman,18,27,3,8,0.11,ok
house_of_graphs_0461,.,okamoto_exact,18,27,3,6,772.47,ok
house_of_graphs_0481,.,kolman,18,43,9,9,0.06,ok
house_of_graphs_0481,.,okamoto_exact,18,43,9,7,994.74,ok
house_of_graphs_0501,.,kolman,19,46,11,12,0.13,ok
house_of_graphs_0501,.,okamoto_exact,19,46,11,8,2885.14,ok
house_of_graphs_0521,.,kolman,19,47,11,12,0.25,ok
house_of_graphs_0521,.,okamoto_exact,19,47,11,9,3211.91,ok
house_of_graphs_0541,.,kolman,19,45,9,9,0.29,ok
house_of_graphs_0541,.,okamoto_exact,19,45,9,7,5612.05,ok
house_of_graphs_0561,.,kolman,19,47,10,10,0.19,ok
house_of_graphs_0561,.,okamoto_exact,19,47,10,9,5638.25,ok
house_of_graphs_0581,.,kolman,19,46,9,10,0.16,ok
house_of_graphs_0581,.,okamoto_exact,19,46,9,8,2545.82,ok
house_of_graphs_0601,.,kolman,19,45,10,10,0.19,ok
house_of_graphs_0601,.,okamoto_exact,19,45,10,8,3212.16,ok
house_of_graphs_0621,.,kolman,19,48,10,10,0.23,ok
house_of_graphs_0621,.,okamoto_exact,19,48,10,9,2828.48,ok
house_of_graphs_0641,.,kolman,19,47,11,11,0.19,ok
house_of_graphs_0641,.,okamoto_exact,19,47,11,8,3220.36,ok
house_of_graphs_0661,.,kolman,19,46,10,10,0.3,ok
house_of_graphs_0661,.,okamoto_exact,19,46,10,8,4984.02,ok
house_of_graphs_0681,.,kolman,19,45,9,10,0.18,ok
house_of_graphs_0681,.,okamoto_exact,19,45,9,6,2935.52,ok
house_of_graphs_0701,.,kolman,19,46,9,10,0.17,ok
house_of_graphs_0701,.,okamoto_exact,19,46,9,9,2779.67,ok
house_of_graphs_0721,.,kolman,19,45,9,9,0.19,ok
house_of_graphs_0721,.,okamoto_exact,19,45,9,7,2876.19,ok
