graph_label,graph_family,method,n,m,max_degree,max_congestion,runtime_seconds,status
K_10_10,custom/multipartite,kolman,20,100,10,48,0.16,ok
K_10_10,custom/multipartite,okamoto_exact,20,100,10,,,skipped_too_large
K_10_10_10,custom/multipartite,kolman,30,300,20,148,17.48,ok
K_10_10_10,custom/multipartite,okamoto_exact,30,300,20,,,skipped_too_large
K_10_10_10_10,custom/multipartite,kolman,40,600,30,274,59.67,ok
K_10_10_10_10,custom/multipartite,okamoto_exact,40,600,30,,,skipped_too_large
K_10_30,custom/multipartite,kolman,40,300,30,134,60.59,ok
K_10_30,custom/multipartite,okamoto_exact,40,300,30,,,skipped_too_large
K_11_11,custom/multipartite,kolman,22,121,11,59,5.79,ok
K_11_11,custom/multipartite,okamoto_exact,22,121,11,,,skipped_too_large
K_11_11_11,custom/multipartite,kolman,33,363,22,178,31.44,ok
K_11_11_11,custom/multipartite,okamoto_exact,33,363,22,,,skipped_too_large
K_11_11_11_11,custom/multipartite,kolman,44,726,33,327,86.63,ok
K_11_11_11_11,custom/multipartite,okamoto_exact,44,726,33,,,skipped_too_large
K_12_12,custom/multipartite,kolman,24,144,12,70,7.9,ok
K_12_12,custom/multipartite,okamoto_exact,24,144,12,,,skipped_too_large
K_12_12_12,custom/multipartite,kolman,36,432,24,192,41.37,ok
K_12_12_12,custom/multipartite,okamoto_exact,36,432,24,,,skipped_too_large
K_12_12_12_12,custom/multipartite,kolman,48,864,36,384,125.43,ok
K_12_12_12_12,custom/multipartite,okamoto_exact,48,864,36,,,skipped_too_large
K_13_13,custom/multipartite,kolman,26,169,13,83,10.56,ok
K_13_13,custom/multipartite,okamoto_exact,26,169,13,,,skipped_too_large
K_13_13_13,custom/multipartite,kolman,39,507,26,226,56.35,ok
K_13_13_13,custom/multipartite,okamoto_exact,39,507,26,,,skipped_too_large
K_13_13_13_13,custom/multipartite,kolman,52,1014,39,460,170.6,ok
K_13_13_13_13,custom/multipartite,okamoto_exact,52,1014,39,,,skipped_too_large
K_14_14,custom/multipartite,kolman,28,196,14,96,13.92,ok
K_14_14,custom/multipartite,okamoto_exact,28,196,14,,,skipped_too_large
K_14_14_14,custom/multipartite,kolman,42,588,28,262,73.35,ok
K_14_14_14,custom/multipartite,okamoto_exact,42,588,28,,,skipped_too_large
K_14_14_14_14,custom/multipartite,kolman,56,1176,42,528,232.76,ok
