graph_label,graph_family,method,n,m,max_degree,max_congestion,runtime_seconds,status
torus_10x10,custom/torus,kolman,100,200,4,28,5216.55,ok
torus_10x10,custom/torus,okamoto_exact,100,200,4,,,skipped_too_large
torus_3x10,custom/torus,kolman,30,60,4,6,18.22,ok
torus_3x10,custom/torus,okamoto_exact,30,60,4,,,skipped_too_large
torus_3x11,custom/torus,kolman,33,66,4,6,30.19,ok
torus_3x11,custom/torus,okamoto_exact,33,66,4,,,skipped_too_large
torus_3x12,custom/torus,kolman,36,72,4,8,39.67,ok
torus_3x12,custom/torus,okamoto_exact,36,72,4,,,skipped_too_large
torus_3x13,custom/torus,kolman,39,78,4,8,51.14,ok
torus_3x13,custom/torus,okamoto_exact,39,78,4,,,skipped_too_large
torus_3x14,custom/torus,kolman,42,84,4,8,70.82,ok
torus_3x14,custom/torus,okamoto_exact,42,84,4,,,skipped_too_large
torus_3x15,custom/torus,kolman,45,90,4,8,91.93,ok
torus_3x15,custom/torus,okamoto_exact,45,90,4,,,skipped_too_large
torus_3x16,custom/torus,kolman,48,96,4,8,119.47,ok
torus_3x16,custom/torus,okamoto_exact,48,96,4,,,skipped_too_large
torus_3x17,custom/torus,kolman,51,102,4,8,153.86,ok
torus_3x17,custom/torus,okamoto_exact,51,102,4,,,skipped_too_large
torus_3x18,custom/torus,kolman,54,108,4,6,185.95,ok
torus_3x18,custom/torus,okamoto_exact,54,108,4,,,skipped_too_large
torus_3x19,custom/torus,kolman,57,114,4,8,239.99,ok
torus_3x19,custom/torus,okamoto_exact,57,114,4,,,skipped_too_large
torus_3x20,custom/torus,kolman,60,120,4,8,282.13,ok
torus_3x20,custom/torus,okamoto_exact,60,120,4,,,skipped_too_large
torus_3x21,custom/torus,kolman,63,126,4,8,348.81,ok
torus_3x21,custom/torus,okamoto_exact,63,126,4,,,skipped_too_large
torus_3x22,custom/torus,kolman,66,132,4,8,441.63,ok
torus_3x22,custom/torus,okamoto_exact,66,132,4,,,skipped_too_large
torus_3x23,custom/torus,kolman,69,138,4,8,563.09,ok
torus_3x23,custom/torus,okamoto_exact,69,138,4,,,skipped_too_large
torus_3x24,custom/torus,kolman,72,144,4,8,736.78,ok
torus_3x24,custom/torus,okamoto_exact,72,144,4,,,skipped_too_large
torus_3x25,custom/torus,kolman,75,150,4,8,889.23,ok
torus_3x25,custom/torus,okamoto_exact,75,150,4,,,skipped_too_large
torus_3x26,custom/torus,kolman,78,156,4,8,1136.1,ok
torus_3x26,custom/torus,okamoto_exact,78,156,4,,,skipped_too_large
torus_3x27,custom/torus,kolman,81,162,4,8,1372.74,ok
torus_3x27,custom/torus,okamoto_exact,81,162,4,,,skipped_too_large
torus_3x28,custom/torus,kolman,84,168,4,8,1687.01,ok
torus_3x28,custom/torus,okamoto_exact,84,168,4,,,skipped_too_large
torus_3x29,custom/torus,kolman,87,174,4,8,2176.85,ok
torus_3x29,custom/torus,okamoto_exact,87,174,4,,,skipped_too_large
torus_3x3,custom/torus,kolman,9,18,4,6,0.0,ok
torus_3x3,custom/torus,okamoto_exact,9,18,4,6,0.01,ok
torus_3x30,custom/torus,kolman,90,180,4,8,2525.06,ok
torus_3x30,custom/torus,okamoto_exact,90,180,4,,,skipped_too_large
torus_3x31,custom/torus,kolman,93,186,4,8,3240.29,ok
torus_3x31,custom/torus,okamoto_exact,93,186,4,,,skipped_too_large
